Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/13/2022,01/14/2022,FRED MEYER 0608,Groceries,Sale,-22.55,
01/12/2022,01/12/2022,HARRYS 888-212-6855,Shopping,Sale,-16.54,
01/09/2022,01/10/2022,INDIAN SWEETS &amp; SPICES,Groceries,Sale,-69.56,
01/09/2022,01/10/2022,H&amp;M0158,Shopping,Sale,-81.49,
01/09/2022,01/10/2022,TRADER JOE'S #137  QPS,Groceries,Sale,-35.11,
01/08/2022,01/10/2022,SAFEWAY #0488,Groceries,Sale,-35.87,
01/07/2022,01/09/2022,Amazon.com*Q76Q592N3,Shopping,Sale,-16.36,
01/08/2022,01/09/2022,H&amp;M0158,Shopping,Sale,-15.20,
01/06/2022,01/07/2022,TRADER JOE'S #147  QPS,Groceries,Sale,-110.72,
01/05/2022,01/06/2022,NESPRESSO USA,Groceries,Sale,-56.00,
01/03/2022,01/03/2022,AUTOMATIC PAYMENT - THANK,,Payment,1442.24,
01/03/2022,01/03/2022,NYTIMES,Bills & Utilities,Sale,-61.38,
12/31/2021,01/02/2022,U BOOK STORE-U DISTRICT,Education,Sale,-14.88,
